Date,DJIA,S&P 500,NASDAQ Composite
21/1/2025,44025.80859,6049.240234,19756.7793
22/1/2025,44156.73047,6086.370117,20009.33984
23/1/2025,44565.07031,6118.709961,20053.67969
24/1/2025,44424.25,6101.240234,19954.30078
27/1/2025,44713.57813,6012.279785,19341.83008
28/1/2025,44850.35156,6067.700195,19733.58984
29/1/2025,44713.51953,6039.310059,19632.32031
30/1/2025,44882.12891,6071.169922,19681.75
31/1/2025,44544.66016,6040.529785,19627.43945
3/2/2025,44421.91016,5994.569824,19391.96094
4/2/2025,44556.03906,6037.879883,19654.01953
5/2/2025,44873.28125,6061.47998,19692.33008
6/2/2025,44747.62891,6083.569824,19791.99023
7/2/2025,44303.39844,6025.990234,19523.40039
10/2/2025,44470.41016,6066.439941,19714.26953
11/2/2025,44593.64844,6068.5,19643.85938
12/2/2025,44368.55859,6051.970215,19649.94922
13/2/2025,44711.42969,6115.069824,19945.64063
14/2/2025,44546.07813,6114.629883,20026.76953
18/2/2025,44556.33984,6129.580078,20041.25977
19/2/2025,44627.58984,6144.149902,20056.25
20/2/2025,44176.64844,6117.52002,19962.35938
21/2/2025,43428.01953,6013.129883,19524.00977
24/2/2025,43461.21094,5983.25,19286.92969
25/2/2025,43621.16016,5955.25,19026.39063
26/2/2025,43433.12109,5956.060059,19075.25977
27/2/2025,43239.5,5861.569824,18544.41992
28/2/2025,43840.91016,5954.5,18847.2793
3/3/2025,43191.23828,5849.720215,18350.18945
4/3/2025,42520.98828,5778.149902,18285.16016
5/3/2025,43006.58984,5842.629883,18552.73047
6/3/2025,42579.07813,5738.52002,18069.25977
7/3/2025,42801.71875,5770.200195,18196.2207
10/3/2025,41911.71094,5614.560059,17468.32031
11/3/2025,41433.48047,5572.069824,17436.09961
12/3/2025,41350.92969,5599.299805,17648.44922
13/3/2025,40813.57031,5521.52002,17303.00977
14/3/2025,41488.19141,5638.939941,17754.08984
17/3/2025,41841.62891,5675.120117,17808.66016
18/3/2025,41581.30859,5614.660156,17504.11914
19/3/2025,41964.62891,5675.290039,17750.78906
20/3/2025,41953.32031,5662.890137,17691.63086
21/3/2025,41985.35156,5667.560059,17784.05078
24/3/2025,42583.32031,5767.569824,18188.58984
25/3/2025,42587.5,5776.649902,18271.85938
26/3/2025,42454.78906,5712.200195,17899.01953
27/3/2025,42299.69922,5693.310059,17804.0293
28/3/2025,41583.89844,5580.939941,17322.99023
31/3/2025,42001.76172,5611.850098,17299.28906
1/4/2025,41989.96094,5633.069824,17449.89063
2/4/2025,42225.32031,5670.970215,17601.05078
3/4/2025,40545.92969,5396.52002,16550.60938
4/4/2025,38314.85938,5074.080078,15587.79004
7/4/2025,37965.60156,5062.25,15603.25977
8/4/2025,37645.58984,4982.77002,15267.91016
9/4/2025,40608.44922,5456.899902,17124.9707
10/4/2025,39593.66016,5268.049805,16387.31055
11/4/2025,40212.71094,5363.359863,16724.46094
14/4/2025,40524.78906,5405.970215,16831.48047
15/4/2025,40368.96094,5396.629883,16823.16992
16/4/2025,39669.39063,5275.700195,16307.16016
17/4/2025,39142.23047,5282.700195,16286.4502
21/4/2025,38170.41016,5158.200195,15870.90039
22/4/2025,39186.98047,5287.759766,16300.41992
23/4/2025,39606.57031,5375.859863,16708.05078
24/4/2025,40093.39844,5484.77002,17166.03906
25/4/2025,40113.5,5525.209961,17382.93945
28/4/2025,40227.58984,5528.75,17366.13086
29/4/2025,40527.62109,5560.830078,17461.32031
30/4/2025,40669.35938,5569.060059,17446.33984
1/5/2025,40752.96094,5604.140137,17710.74023
2/5/2025,41317.42969,5686.669922,17977.73047
5/5/2025,41218.82813,5650.379883,17844.24023
6/5/2025,40829,5606.910156,17689.66016
7/5/2025,41113.96875,5631.279785,17738.16016
8/5/2025,41368.44922,5663.939941,17928.14063
9/5/2025,41249.37891,5659.910156,17928.91992
12/5/2025,42410.10156,5844.189941,18708.33984
13/5/2025,42140.42969,5886.549805,19010.08984
14/5/2025,42051.05859,5892.580078,19146.81055
15/5/2025,42322.75,5916.930176,19112.32031
16/5/2025,42654.73828,5958.379883,19211.09961
19/5/2025,42792.07031,5963.600098,19215.46094
20/5/2025,42677.23828,5940.459961,19142.71094
21/5/2025,41860.44141,5844.609863,18872.64063
22/5/2025,41859.08984,5842.009766,18925.74023
23/5/2025,41603.07031,5802.819824,18737.21094
27/5/2025,42343.64844,5921.540039,19199.16016
28/5/2025,42098.69922,5888.549805,19100.93945
29/5/2025,42215.73047,5912.169922,19175.86914
30/5/2025,42270.07031,5911.689941,19113.76953
2/6/2025,42305.48047,5935.939941,19242.60938
3/6/2025,42519.64063,5970.370117,19398.96094
4/6/2025,42427.73828,5970.810059,19460.49023
5/6/2025,42319.73828,5939.299805,19298.44922
6/6/2025,42762.87109,6000.359863,19529.94922
9/6/2025,42761.76172,6005.879883,19591.24023
10/6/2025,42866.87109,6038.810059,19714.99023
11/6/2025,42865.76953,6022.240234,19615.88086
12/6/2025,42967.62109,6045.259766,19662.49023
13/6/2025,42197.78906,5976.970215,19406.83008
16/6/2025,42515.08984,6033.109863,19701.21094
