date,time,timezone,post_id,text,image,likes,retweets,replies,views
2025-01-03,00:21:18,EST,1875049777186136481,"The Tariffs, and Tariffs alone, created this vast wealth for our Country. Then we switched over to Income Tax. We were never so wealthy as during this period. Tariffs will pay off our debt and, MAKE AMERICA WEALTHY AGAIN! https://t.co/ZuAi9qCdai",,136836,26743,13032,50309639
2025-01-03,00:21:51,EST,1875049915367235899,"With the Biden “Open Border’s Policy” I said, many times during Rallies, and elsewhere, that Radical Islamic Terrorism, and other forms of violent crime, will become so bad in America that it will become hard to even imagine or believe. That time has come, only worse than ever imagined. Joe Biden is the WORST PRESIDENT IN THE HISTORY OF AMERICA, A COMPLETE AND TOTAL DISASTER. What he and his group of Election Interfering “thugs” have done to our Country will not soon be forgotten! MAGA",,233638,38317,13944,54984090
2025-01-03,00:22:11,EST,1875050002046726519,"Our Country is a disaster, a laughing stock all over the World! This is what happens when you have OPEN BORDERS, with weak, ineffective, and virtually nonexistent leadership. The DOJ, FBI, and Democrat state and local prosecutors have not done their job. They are incompetent and corrupt, having spent all of their waking hours unlawfully attacking their political opponent, ME, rather than focusing on protecting Americans from the outside and inside violent SCUM that has infiltrated all aspects of our government, and our Nation itself. Democrats should be ashamed of themselves for allowing this to happen to our Country. The CIA must get involved, NOW, before it is too late. The USA is breaking down - A violent erosion of Safety, National Security, and Democracy is taking place all across our Nation. Only strength and powerful leadership will stop it. See you on January 20th. MAKE AMERICA GREAT AGAIN!",,416984,60326,32100,71197201
2025-01-03,00:22:32,EST,1875050089305252190,TRUMP WAS RIGHT ABOUT EVERYTHING!,,509041,53828,33484,101816571
2025-01-05,21:11:01,EST,1876089056817455175,"Members of Congress are getting to work on one powerful Bill that will bring our Country back, and make it greater than ever before. We must Secure our Border, Unleash American Energy, and Renew the Trump Tax Cuts, which were the largest in History, but we will make it even better - NO TAX ON TIPS. IT WILL ALL BE MADE UP WITH TARIFFS, AND MUCH MORE, FROM COUNTRIES THAT HAVE TAKEN ADVANTAGE OF THE U.S. FOR YEARS. Republicans must unite, and quickly deliver these Historic Victories for the American People. Get smart, tough, and send the Bill to my desk to sign as soon as possible. MAKE AMERICA GREAT AGAIN!",,308100,47223,33022,65364943
2025-01-13,19:55:39,EST,1878969190335590889,https://t.co/5xCdrWmQEH,,667038,81641,27618,84224484
2025-01-17,21:44:00,EST,1880446012168249386,My NEW Official Trump Meme is HERE! It’s time to celebrate everything we stand for: WINNING! Join my very special Trump Community. GET YOUR $TRUMP NOW. Go to https://t.co/GX3ZxT5xyq — Have Fun! https://t.co/flIKYyfBrC,https://pbs.twimg.com/media/GhivrlDWAAA7Ex3.jpg,394514,62863,73086,119203852
2025-01-18,12:44:23,EST,1880672600894173506,RT @EricTrump: I am extremely proud of what we continue to accomplish in crypto. $Trump is currently the hottest digital meme on earth and I truly believe that @WorldLibertyFi will revolutionize DeFi/Cefi and will be the future of finance. We are just getting started! 🚀🚀 https://t.co/YzdxoCWrKV,,0,13479,0,1559
2025-01-19,15:18:29,EST,1881073769449492971,President Trump’s Celebratory Victory Rally https://t.co/MCKNpDh8kG,,460842,67433,35959,93351858
2025-01-19,16:19:28,EST,1881089112771572032,RT @MELANIATRUMP: The Official Melania Meme is live!  You can buy $MELANIA now.    https://t.co/mgSwtOQYnq  FUAfBo2jgks6gB4Z4LfZkqSZgzNucis…,,0,2717,0,60337
2025-01-20,11:07:16,EST,1881372933710589978,The 60th Presidential Inauguration Ceremony https://t.co/kTB4w2VCdI,,691832,107957,41401,80971778
2025-01-20,14:13:14,EST,1881419736648499257,Donald J. Trump Attends the Presidential Parade https://t.co/xath35WNXE,,412190,50958,22486,82305244
2025-01-21,18:19:06,EST,1881843998849130673,RT @realDonaldTrump: My NEW Official Trump Meme is HERE! It’s time to celebrate everything we stand for: WINNING! Join my very special Trump Community. GET YOUR $TRUMP NOW. Go to https://t.co/GX3ZxT5xyq — Have Fun! https://t.co/flIKYyfBrC,,0,62863,0,83
